# Page recording

Recorded for 337 seconds.
Every four-byte word, and what it did. A word that never changed is
padding, a setting, or something this session never reached — and a
word that swept a wide range is a live measurement.


═══ acpmf_physics ═══
2048 bytes, 8376 samples

── words that changed (128 of 512) ──
offset       float min      float max       int min      int max  values
    "000000000000000001000000000000000000000017ecba320000000000000000",
    "5a40d941abe0df416218323e5afcdcbb0b48dabc680b54bd0000000000000000",
    "000000000000000000000000000000000000000000000000000000008de2bc43",
    "08fdbb433d0048435e6e47430000803f00000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "000000005db595c4ca04be4149ee01c5d68595c42e91bd4140fd01c5c88795c4",
    "338cbd4191ca01c5305995c4331abd413cd901c59fdd233d3fcb7f3f4fa4393b",
    "30e8233d29cb7f3fae77553bbd11223d9dcc7f3f90a1b73a0f7e1d3d87cf7f3f",
    "21af123af262083f8063c2bc1e8f583f7009083fc8f3c4bccfc6583f91dd073f",
    "13e5b5bc9ae5583fe193083fae0cacbcff74583f5c8f423ff8f4b6bc660f223f",
    "ec2a38420000000000000000ca21000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "22bfb8bd408c98bd465df5bc9025f0bcb03ec23aed006b395678d7b9adbaad3a",
    "0000000000000000000000000000000000000000000000006348ae4242b1aa42",
    "e5fbaf42d567ae4242f4a7426737203f6737203fee604a3eee604a3e01000000",
    "010000000100e8410100e8410100e8410100e841000000420000004200000042",
    "0000004201000000000000000100000000000000d700823ec487bc3c00000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
);

═══ acpmf_graphics ═══
2048 bytes, 8376 samples

── words that changed (84 of 512) ──
offset       float min      float max       int min      int max  values
     0          0.0000         0.0000             0        39853     32+
     4          0.0000         0.0000             0            2       2
    12          0.0000         0.0000             0      3801138       5
    16          0.0000         0.0000             0      3735605     32+
    20          0.0000         0.0000             0      3735610      12
    24          0.0000         0.0000             0      3670073     32+
    40          0.0000         0.0000             0      3342336       3
    44          0.0000         0.0000             0      3604533       3
    48          0.0000         0.0000             0      3801137       3
    52          0.0000         0.0000             0      3604534       3
    56          0.0000         0.0000             0      3801139       3
    60          0.0000         0.0000             0      3407926       2
    64          0.0000         0.0000             0           55       2
    72          0.0000         0.0000             0      3473459       2
    76          0.0000         0.0000             0      3735607       2
    80          0.0000         0.0000             0      3801137       2
    84          0.0000         0.0000             0      3342386       2
    88          0.0000         0.0000             0      3539002       2
    92          0.0000         0.0000             0      3604532       2
   100          0.0000         0.0000             0      3211264       3
   104          0.0000         0.0000             0      3473466       7
   108          0.0000         0.0000             0      3801145      11
   112          0.0000         0.0000             0      3735609     32+
   116          0.0000         0.0000             0           56       9
   132          0.0000         0.0000             0            1       2
   136          0.0000         0.0000             0            1       2
   140          0.0000         0.0000             0       161642     32+
   144          0.0000         0.0000             0   2147483647       3
   148          0.0000         0.0000             0   2147483647       2
   152         -1.0000         0.0000   -1082130432            0       2
   156          0.0000     13244.6250             0   1179579008     32+
   164          0.0000         0.0000             0            2       3
   168          0.0000         0.0000             0       117595       5
   176          0.0000         0.0000             0      7471204       2
   180          0.0000         0.0000             0      6226041       2
   184          0.0000         0.0000             0      7274595       2
   188          0.0000         0.0000             0      7340141       2
   192          0.0000         0.0000             0      7667823       2
   196          0.0000         0.0000             0      6553710       2
   248          0.0000         1.0000             0   1065353216     32+
   252          0.0000         0.0000             0            1       2
   256      -1461.0580         0.0000   -1019200994            0     32+
   260        -28.5046        73.9153   -1178954689   1116984477     32+
   264      -2215.6113         0.0000   -1020331024            0     32+
  1232          0.0000         0.0000             0            1       2
  1236          0.0000         0.0000             0            1       2
  1244          0.0000         0.0000             0            1       2
  1260          0.0000         0.0000             0            4       2
  1268          0.0000         0.0000             0            8       7
  1280          0.0000         0.0000             0            6       4
  1284          0.0000         4.2400             0   1082633748       2
  1300          0.0000       553.2772             0   1141526973     32+
  1308          0.0000         0.0000         -1000            0       2
